wage,educ,exper,female,married
3.1,11.0,2.0,1.0,0.0
3.24,12.0,22.0,1.0,1.0
3.0,11.0,2.0,0.0,0.0
6.0,8.0,44.0,0.0,1.0
5.3,12.0,7.0,0.0,1.0
8.75,16.0,9.0,0.0,1.0
11.25,18.0,15.0,0.0,0.0
5.0,12.0,5.0,1.0,0.0
3.6,12.0,26.0,1.0,0.0
18.18,17.0,22.0,0.0,1.0
6.25,16.0,8.0,1.0,0.0
8.13,13.0,3.0,1.0,0.0
8.77,12.0,15.0,0.0,1.0
5.5,12.0,18.0,0.0,0.0
22.2,12.0,31.0,0.0,1.0
17.33,16.0,14.0,0.0,1.0
7.5,12.0,10.0,1.0,1.0
10.63,13.0,16.0,1.0,0.0
3.6,12.0,13.0,1.0,1.0
4.5,12.0,36.0,1.0,1.0
6.88,12.0,11.0,1.0,0.0
8.48,12.0,29.0,0.0,1.0
6.33,16.0,9.0,1.0,0.0
0.53,12.0,3.0,1.0,0.0
6.0,11.0,37.0,1.0,0.0
9.56,16.0,3.0,0.0,1.0
7.78,16.0,11.0,0.0,1.0
12.5,16.0,31.0,0.0,1.0
12.5,15.0,30.0,0.0,1.0
3.25,8.0,9.0,1.0,1.0
13.0,14.0,23.0,0.0,1.0
4.5,14.0,2.0,1.0,0.0
9.68,13.0,16.0,1.0,0.0
5.0,12.0,7.0,1.0,0.0
4.68,12.0,3.0,1.0,0.0
4.27,16.0,22.0,1.0,1.0
6.15,12.0,15.0,1.0,1.0
3.51,4.0,39.0,0.0,1.0
3.0,14.0,3.0,1.0,1.0
6.25,12.0,11.0,1.0,0.0
7.81,12.0,3.0,1.0,1.0
10.0,12.0,20.0,1.0,1.0
4.5,14.0,16.0,1.0,1.0
4.0,11.0,45.0,1.0,1.0
6.38,13.0,11.0,1.0,0.0
13.7,15.0,20.0,0.0,1.0
1.67,10.0,1.0,0.0,0.0
2.93,12.0,36.0,1.0,1.0
3.65,14.0,9.0,0.0,0.0
2.9,12.0,15.0,1.0,1.0
1.63,12.0,18.0,1.0,0.0
8.6,16.0,3.0,1.0,0.0
5.0,12.0,15.0,0.0,1.0
6.0,12.0,7.0,0.0,1.0
2.5,12.0,2.0,0.0,0.0
3.25,15.0,3.0,0.0,0.0
3.4,16.0,1.0,1.0,0.0
10.0,8.0,13.0,0.0,0.0
21.63,18.0,8.0,1.0,0.0
4.38,16.0,7.0,0.0,0.0
11.71,13.0,40.0,1.0,0.0
12.39,14.0,42.0,0.0,0.0
6.25,10.0,36.0,0.0,0.0
3.71,10.0,13.0,1.0,0.0
7.78,14.0,9.0,0.0,0.0
19.98,14.0,26.0,0.0,1.0
6.25,16.0,7.0,1.0,1.0
10.0,12.0,25.0,0.0,1.0
5.71,16.0,10.0,0.0,1.0
2.0,12.0,3.0,1.0,0.0
5.71,16.0,3.0,1.0,0.0
13.08,17.0,17.0,0.0,1.0
4.91,12.0,17.0,0.0,1.0
2.91,12.0,20.0,1.0,1.0
3.75,12.0,7.0,1.0,1.0
11.9,13.0,24.0,0.0,1.0
4.0,12.0,28.0,1.0,1.0
3.1,12.0,2.0,1.0,0.0
8.45,12.0,19.0,0.0,1.0
7.14,18.0,13.0,0.0,1.0
4.5,9.0,22.0,0.0,1.0
4.65,16.0,3.0,0.0,0.0
2.9,10.0,4.0,1.0,0.0
6.67,12.0,7.0,0.0,0.0
3.5,12.0,6.0,1.0,0.0
3.26,12.0,13.0,1.0,1.0
3.25,12.0,14.0,1.0,1.0
8.0,12.0,14.0,1.0,0.0
9.85,8.0,40.0,0.0,1.0
7.5,12.0,11.0,0.0,1.0
5.91,12.0,14.0,0.0,1.0
11.76,14.0,40.0,0.0,1.0
3.0,12.0,1.0,1.0,0.0
4.81,12.0,2.0,1.0,0.0
