ID,NET_INCOME,FR1,FR2,FR3,FR4,FR5
1,7863.858,2.978,0.551,0.634,0.67,0.345
2,9329.172,2.048,0.377,0.748,0.519,0.766
3,12726.49,3.224,0.319,0.478,0.238,0.728
4,5988.046,3.938,0.482,0.35,0.086,0.326
5,6502.307,2.616,0.45,0.621,0.133,0.345
6,7110.178,1.959,0.408,0.697,0.146,0.762
7,8189.929,1.549,0.273,0.878,0.319,17.751
8,7471.071,2.71,0.579,0.537,0.903,0.272
9,6933.622,2.553,0.319,0.502,0.178,0.871
10,7002.576,2.259,0.458,0.614,0.914,0.818
11,8218.483,3.174,0.363,0.396,0.132,0.703
12,8852.883,2.635,0.371,0.676,0.876,0.505
13,7324.214,3.244,0.45,0.41,0.996,0.574
14,12108.4,1.8,0.566,0.657,0.403,0.609
15,11141.15,2.098,0.374,0.936,0.957,0.407
16,11815.55,4.616,0.244,0.537,0.997,0.531
17,10797.67,3.206,0.51,0.48,0.739,0.403
18,10105.99,2.149,0.382,0.775,0.854,1.087
19,6891.693,3.036,0.368,0.442,0.716,2.481
20,10988.73,3.244,0.789,0.421,0.516,0.181
21,6257.719,3.373,0.381,0.678,0.935,0.574
22,7695.842,3.93,0.52,0.345,0.308,0.418
23,8682.256,1.77,0.539,0.848,0.685,0.329
24,10477.4,3.244,0.657,0.443,0.265,0.305
25,8351.489,3.636,0.369,0.526,0.27,0.412
26,8774.89,2.971,0.553,0.519,0.208,0.345
27,7774.668,2.479,0.689,0.723,0.155,0.187
28,5901.957,2.524,0.582,0.424,0.645,0.349
29,8388.346,2.677,0.546,0.64,0.829,0.331
30,9331.109,3.07,0.618,0.616,0.633,0.16
